uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_7,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,support_immedfam,support_extfam,support_worksch,support_friends,outcome_connection,outcome_future,online_news,online_sm,online_areasinterest,online_sharemedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33
3075,Resident (Citizen/PR),Female,45-54 years old,HDB 5 room / Executive,Health and social services,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,9,9,9,8,Daily,Less frequently,Daily,Less frequently,Married,Yes,14,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),Middle management (managerial),Refuse,Refuse,1.262925057,10 - Strongly agree,9,9,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,7,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3078,Resident (Citizen/PR),Male,25-34 years old,HDB 1-2 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,10 - A lot,10 - A lot,8,0 - Not at all,10 - Very strong,8,Daily,Less frequently,A few times a week,Less frequently,Married,No,-,No,No,No,Yes,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$1,000-2,000","S$1,000-2,000",0.68612988,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,8,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,7,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,6,10 - Strongly agree
3082,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,-,3,3,3,4,5,3,Less frequently,Daily,Less frequently,A few times a week,Married,Yes,More than 20 years old,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,"Below S$1,000",-,0.961032887,6,6,4,6,6,6,4,5,3,5,4,5,4,6,8,5,6,6,5,7,5,6,6,6,4,7,7,7,5,5,8,6,6,6,5,7,5,8
3083,Resident (Citizen/PR),Male,16-19 years old,HDB 5 room / Executive,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,8,9,9,9,10 - I have a strong desire to be a part of shaping Singapore’s future,A few times a week,Daily,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Primary school / PSLE,-,Student,"S$6,001-S$7,000",-,1.149787146,9,9,8,5,9,8,9,7,5,10 - Strongly agree,9,8,9,7,10 - Strongly agree,9,10 - Strongly agree,8,7,10 - Strongly agree,9,8,9,10 - Strongly agree,9,9,10 - Strongly agree,8,10 - Strongly agree,8,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,9
3084,Resident (Citizen/PR),Female,20-24 years old,HDB 3 room,Not currently working,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,8,10 - A lot,8,7,9,8,Daily,Daily,A few times a week,Less frequently,Single,No,-,No,Yes,No,No,No,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Student,"S$5,001-S$6,000",-,0.775305876,9,9,8,7,7,9,6,7,7,8,9,6,7,7,7,9,9,8,7,9,7,7,7,8,8,8,9,8,7,10 - Strongly agree,7,8,10 - Strongly agree,8,9,9,8,7
3086,Resident (Citizen/PR),Male,25-34 years old,HDB 5 room / Executive,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,8,8,8,8,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,A few times a week,Daily,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,University / degree,Non-Singapore university with a Singapore campus (studied locally most or all of the time),"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","$10,001-$11,000","S$3,001-S$4,000",1.447118165,10 - Strongly agree,8,8,5,5,7,0 - Do not agree at all,8,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,8,8,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,7,7,7,8,9,7,7,8,10 - Strongly agree,7,8,10 - Strongly agree,10 - Strongly agree,7,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
3087,Resident (Citizen/PR),Female,65-75 years old,HDB 4 room,Other,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,-,10 - A lot,8,0 - Not at all,1,5,8,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,Other,Refuse,"S$1,000-2,000",0.961032887,8,8,8,8,0 - Do not agree at all,6,6,0 - Do not agree at all,8,8,8,8,0 - Do not agree at all,6,5,5,8,8,0 - Do not agree at all,6,8,10 - Strongly agree,8,0 - Do not agree at all,0 - Do not agree at all,8,8,8,10 - Strongly agree,5,5,5,10 - Strongly agree,10 - Strongly agree,8,0 - Do not agree at all,5,10 - Strongly agree
3089,Resident (Citizen/PR),Female,55-64 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,-,9,6,3,6,8,4,Daily,Less frequently,Less frequently,Less frequently,Married,No,-,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,"S$1,000-2,000",-,0.87073426,7,6,6,0 - Do not agree at all,6,8,3,7,3,6,6,4,6,4,6,8,7,7,10 - Strongly agree,9,7,7,6,7,6,6,10 - Strongly agree,7,7,8,7,7,7,9,10 - Strongly agree,7,8,10 - Strongly agree
3091,Resident (Citizen/PR),Female,65-75 years old,HDB 1-2 room,Cleaning services,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,6,3,7,10 - Very strong,6,Less frequently,Daily,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,No,Yes,No,No,No,No,No,No,No,Primary school / PSLE,-,"Cleaners, labourers and related workers",Refuse,Refuse,0.587690837,10 - Strongly agree,10 - Strongly agree,7,9,9,8,4,6,6,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,8,6,8,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
3092,Resident (Citizen/PR),Female,45-54 years old,HDB 5 room / Executive,Health and social services,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,7,3,4,4,5,5,Daily,Daily,A few times a week,A few times a month,Married,Yes,16,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Associate professionals (e.g. Paramedic, Assistant Engineer etc)","S$5,001-S$6,000","S$2,001-S$3,000",1.440911389,5,5,6,5,5,6,6,5,4,5,5,5,6,5,5,6,5,5,6,6,5,5,6,7,6,5,7,5,6,5,5,5,7,6,5,5,5,5
3095,Resident (Citizen/PR),Female,35-44 years old,Private apartment / Condominium,Finance / Banking / Insurance,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,6,9,9,9,9,Daily,Daily,Less frequently,A few times a month,Married,Yes,13,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Executives / officers,"S$4,001-S$5,000","S$4,001-S$5,000",0.87932326,8,7,7,6,5,8,2,6,1,8,9,8,7,8,7,9,9,9,9,7,7,9,7,9,9,7,10 - Strongly agree,9,9,9,10 - Strongly agree,9,9,9,10 - Strongly agree,9,9,10 - Strongly agree
3096,Resident (Citizen/PR),Female,35-44 years old,HDB 1-2 room,Not currently working,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,7,8,6,5,Daily,Less frequently,Daily,Less frequently,Married,Yes,19,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$1,000-2,000",-,0.594995919,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,5,3,6,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,3,4,5,10 - Strongly agree,7,10 - Strongly agree,7,7,10 - Strongly agree,4,6,5,6,6
3097,Resident (Citizen/PR),Male,55-64 years old,HDB 5 room / Executive,Manufacturing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,1,1,0 - Not at all,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,Daily,Less frequently,A few times a week,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Middle management (managerial),"Above $20,000","S$9,001-S$10,000",1.472644572,10 - Strongly agree,4,10 - Strongly agree,0 - Do not agree at all,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,5,0 - Do not agree at all,10 - Strongly agree,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree
3098,Resident (Citizen/PR),Male,35-44 years old,HDB 3 room,Transportation/logistics/shipping,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,8,3,7,3,7,7,Daily,Daily,Daily,Less frequently,Married,Yes,Less than 1 year,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Self-employed / Freelancer,"S$2,001-S$3,000","S$2,001-S$3,000",0.917594087,9,5,6,8,8,7,6,6,5,9,5,6,7,7,7,6,7,8,6,6,8,1,6,6,6,5,6,6,6,7,7,6,5,7,6,6,5,6
3099,Resident (Citizen/PR),Male,45-54 years old,Private apartment / Condominium,Information and Communications,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,9,9,9,8,8,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,15,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Associate professionals (e.g. Paramedic, Assistant Engineer etc)","$11,001-$12,000","$11,001-$12,000",0.92070953,8,9,8,8,9,9,9,8,8,8,9,8,8,8,7,8,7,7,7,7,7,7,8,8,8,7,8,8,8,7,7,7,8,8,8,7,7,7
3100,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,Transportation/logistics/shipping,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,7,2,7,6,7,6,Daily,Daily,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Cleaners, labourers and related workers","S$2,001-S$3,000","S$1,000-2,000",0.983413054,9,8,7,0 - Do not agree at all,0 - Do not agree at all,6,0 - Do not agree at all,7,0 - Do not agree at all,7,8,7,7,7,6,7,8,7,6,6,3,7,4,7,7,7,7,7,8,7,8,8,8,9,7,7,7,8
3101,Resident (Citizen/PR),Male,20-24 years old,HDB 1-2 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-,10 - A lot,7,10 - A lot,10 - A lot,6,6,A few times a week,Daily,Daily,Daily,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Technical / vocational school,-,Unemployed,"S$1,000-2,000",-,0.621984384,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,6
3102,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-,8,2,5,0 - Not at all,8,8,Daily,Daily,A few times a week,Less frequently,Married,Yes,2,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$1,000-2,000",-,0.881557613,8,7,7,0 - Do not agree at all,0 - Do not agree at all,9,7,6,0 - Do not agree at all,7,7,7,6,7,8,8,8,7,8,8,8,8,8,8,7,8,8,7,7,7,7,7,8,8,8,8,7,7
3103,Resident (Citizen/PR),Female,55-64 years old,HDB 5 room / Executive,Not currently working,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,-,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,8,7,Less frequently,Less frequently,Less frequently,Less frequently,Single,No,-,No,No,Yes,No,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Retired,"Below S$1,000",-,1.414809721,8,8,7,5,5,5,6,8,5,6,8,4,3,4,3,8,8,9,7,8,7,7,8,7,8,7,8,8,8,5,7,7,9,7,8,7,8,9
3106,Resident (Citizen/PR),Male,20-24 years old,Private apartment / Condominium,Not currently working,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,6,7,9,9,9,Daily,Daily,A few times a month,A few times a month,Single,No,-,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,Refuse,-,0.805664748,8,9,5,2,5,7,1,7,0 - Do not agree at all,7,9,7,9,9,7,8,8,8,7,6,7,6,7,8,8,6,10 - Strongly agree,7,7,7,8,8,9,9,8,7,9,10 - Strongly agree
3107,Resident (Citizen/PR),Male,45-54 years old,Private apartment / Condominium,Finance / Banking / Insurance,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,7,7,7,7,8,A few times a week,A few times a week,A few times a week,A few times a week,Married,Yes,12,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$14,001-$15,000","$14,001-$15,000",0.92070953,7,8,8,7,7,7,8,8,8,8,8,7,7,8,8,8,8,7,8,6,8,8,6,8,7,7,7,6,8,6,7,7,7,7,7,8,7,8
3108,Resident (Citizen/PR),Male,45-54 years old,HDB 4 room,Government / Public Sector / Defence,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,-,10 - A lot,9,8,8,6,6,Daily,Less frequently,Daily,Less frequently,Married,Yes,17,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Middle management (managerial),"$13,001-$14,000","S$10,001-$11,000",1.018772925,6,7,5,8,5,5,5,5,0 - Do not agree at all,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
3109,Resident (Citizen/PR),Male,16-19 years old,HDB 1-2 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,10 - A lot,10 - A lot,6,7,A few times a week,Daily,A few times a week,A few times a week,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,Refuse,-,0.621984384,9,10 - Strongly agree,8,6,10 - Strongly agree,10 - Strongly agree,5,7,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,10 - Strongly agree
3112,Resident (Citizen/PR),Female,20-24 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,7,2,10 - A lot,10 - A lot,6,6,A few times a week,Daily,A few times a week,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Student,"$15,001-$20,000",-,0.773682362,8,7,6,7,6,7,6,7,0 - Do not agree at all,8,5,7,7,9,7,7,7,7,7,7,7,3,6,10 - Strongly agree,8,7,7,10 - Strongly agree,7,7,5,7,8,7,6,7,7,7
3119,Resident (Citizen/PR),Male,16-19 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,2,9,9,5,7,Daily,Daily,A few times a week,Daily,Single,No,-,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Student,"$11,001-$12,000",-,0.805309091,10 - Strongly agree,9,6,5,2,9,0 - Do not agree at all,2,1,10 - Strongly agree,8,5,8,7,9,8,9,10 - Strongly agree,9,9,7,6,8,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,9,9,8,8,10 - Strongly agree,8,3,9,8
3122,Resident (Citizen/PR),Female,16-19 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,10 - A lot,10 - A lot,9,10 - A lot,9,8,Daily,Daily,A few times a week,A few times a week,Single,No,-,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Student,Refuse,-,0.856464194,9,8,7,9,9,9,9,7,2,10 - Strongly agree,9,9,9,8,10 - Strongly agree,7,10 - Strongly agree,7,9,7,7,7,9,7,9,7,9,8,7,9,9,7,10 - Strongly agree,9,8,8,7,10 - Strongly agree
3123,Resident (Citizen/PR),Female,55-64 years old,Private apartment / Condominium,Not currently working,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,2,0 - Not at all,9,10 - Very strong,5,Less frequently,Less frequently,Less frequently,A few times a month,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"Above $20,000",-,0.868527339,7,8,6,8,7,7,2,6,0 - Do not agree at all,8,10 - Strongly agree,6,8,7,7,7,8,8,9,6,7,7,8,7,8,7,10 - Strongly agree,8,8,9,9,7,9,9,9,8,7,10 - Strongly agree
3126,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,"Arts, Entertainment and Recreation",Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,8,6,5,4,7,8,Daily,Daily,A few times a week,Less frequently,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Self-employed / Freelancer,Refuse,Refuse,0.836587115,10 - Strongly agree,8,9,5,6,5,7,7,2,8,9,8,8,8,7,8,8,7,7,8,7,5,6,9,7,8,8,7,7,3,6,6,8,8,9,8,7,8
3127,Resident (Citizen/PR),Male,45-54 years old,Private apartment / Condominium,Information and Communications,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,7,7,7,6,6,A few times a week,A few times a week,A few times a month,A few times a month,Married,Yes,18,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)","Senior management (CEO, Director, GM)","$14,001-$15,000","$14,001-$15,000",0.92070953,6,7,6,6,6,7,6,6,2,6,6,6,6,7,7,6,5,5,7,6,7,3,6,7,5,5,6,5,5,6,6,5,5,7,5,6,6,6
3128,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,Government / Public Sector / Defence,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,-,7,6,7,7,7,7,Daily,A few times a week,A few times a week,Less frequently,Married,No,-,No,Yes,No,No,No,No,No,No,No,No,No,No,University / degree,"Singapore university (e.g. NUS, NTU, SMU, SUSS, SIT, SUTD)",Middle management (managerial),"$13,001-$14,000","S$6,001-S$7,000",0.982978931,7,7,7,8,6,7,7,7,7,6,6,6,6,6,7,7,5,7,6,7,7,5,6,6,6,8,6,6,7,7,5,6,6,6,7,6,6,5
3129,Resident (Citizen/PR),Female,45-54 years old,Private apartment / Condominium,Information and Communications,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,-,10 - A lot,4,8,8,9,9,Daily,Daily,A few times a month,A few times a week,Married,Yes,16,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Executives / officers,Refuse,"S$4,001-S$5,000",0.884941357,7,8,7,8,5,8,6,8,1,7,9,9,8,8,9,8,7,9,9,7,7,6,9,7,8,7,10 - Strongly agree,7,9,9,8,9,10 - Strongly agree,9,9,8,9,10 - Strongly agree
3130,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,7,7,5,8,6,7,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$5,001-S$6,000",-,0.842322798,9,8,5,8,5,9,5,5,5,6,9,5,7,6,9,7,9,9,7,9,7,9,9,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9
3131,Resident (Citizen/PR),Female,55-64 years old,HDB 4 room,Legal/Law firm,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-,0 - Not at all,0 - Not at all,0 - Not at all,0 - Not at all,3,3,Daily,A few times a week,A few times a week,A few times a week,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,"Clerical support workers (e.g. Clerks, Customer service officers, Secretary, Receptionists etc)","S$5,001-S$6,000","S$5,001-S$6,000",0.961032887,1,6,0 - Do not agree at all,0 - Do not agree at all,0 - Do not agree at all,7,2,1,0 - Do not agree at all,2,0 - Do not agree at all,2,2,4,0 - Do not agree at all,4,2,1,2,1,3,2,5,7,1,6,2,2,0 - Do not agree at all,3,6,2,5,1,6,2,0 - Do not agree at all,5
3132,Resident (Citizen/PR),Male,45-54 years old,HDB 4 room,Health and social services,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,-,8,7,5,7,6,6,Daily,Less frequently,Daily,Less frequently,Married,Yes,7,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Polytechnic / diploma,-,Executives / officers,Refuse,Refuse,1.018772925,7,6,7,4,4,6,5,4,0 - Do not agree at all,6,7,7,6,7,6,6,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,5,6
3133,Resident (Citizen/PR),Male,16-19 years old,Private apartment / Condominium,Not currently working,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,9,7,6,7,7,7,A few times a week,A few times a week,A few times a month,A few times a month,Single,No,-,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Junior College / Pre-U / ""A"" Levels",-,Student,"S$9,001-S$10,000",-,0.805309091,5,6,7,5,5,6,6,5,5,7,6,6,6,5,6,6,5,6,6,6,6,4,5,7,6,5,6,6,6,6,5,7,7,6,7,7,5,9
3136,Resident (Citizen/PR),Female,25-34 years old,HDB 4 room,Tourism / Hospitality / Accommodation,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,8,6,8,8,9,8,Daily,Daily,Daily,Daily,Single,No,-,No,Yes,No,No,No,No,No,No,No,No,No,No,University / degree,Non-Singapore university with a Singapore campus (studied locally most or all of the time),Middle management (managerial),"S$8,001-S$9,000","S$4,001-S$5,000",0.944374613,8,8,7,5,4,8,4,4,0 - Do not agree at all,9,9,10 - Strongly agree,8,8,9,8,8,7,9,8,9,8,9,6,9,8,10 - Strongly agree,9,8,8,8,8,10 - Strongly agree,10 - Strongly agree,9,7,9,8
